Name,Last Updated,Tracked,Actions,,
jadohyr1-976,6/4/2020 21:11,1,,, TVM_SERIAL like 'jadohyr1-976' or 
iog9yaca-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'iog9yaca-umshini' or 
hm7wndxm-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'hm7wndxm-umshini' or 
iiy0r9hv-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'iiy0r9hv-umshini' or 
gwo4w91t-861,6/4/2020 21:11,1,,, TVM_SERIAL like 'gwo4w91t-861' or 
hrc6333l-1098,6/4/2020 21:11,1,,, TVM_SERIAL like 'hrc6333l-1098' or 
hwdomp8m-959,6/4/2020 21:11,1,,, TVM_SERIAL like 'hwdomp8m-959' or 
gzscjfix-646,6/4/2020 21:11,1,,, TVM_SERIAL like 'gzscjfix-646' or 
hgoso5i1-891,6/4/2020 21:11,1,,, TVM_SERIAL like 'hgoso5i1-891' or 
hdheo90o-944,6/4/2020 21:11,1,,, TVM_SERIAL like 'hdheo90o-944' or 
i7zhhggo-1417,6/4/2020 21:11,1,,, TVM_SERIAL like 'i7zhhggo-1417' or 
i4a7psil-1136,6/4/2020 21:11,1,,, TVM_SERIAL like 'i4a7psil-1136' or 
gvqy8a6t-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'gvqy8a6t-umshini' or 
fytavwly-957,6/4/2020 21:11,1,,, TVM_SERIAL like 'fytavwly-957' or 
g79uo6lc-976,6/4/2020 21:11,1,,, TVM_SERIAL like 'g79uo6lc-976' or 
fjbxuj3z-1465,6/4/2020 21:11,1,,, TVM_SERIAL like 'fjbxuj3z-1465' or 
gc0sbl8z-861,6/4/2020 21:11,1,,, TVM_SERIAL like 'gc0sbl8z-861' or 
g2hcj8gv-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'g2hcj8gv-umshini' or 
fmn4atkd-868,6/4/2020 21:11,1,,, TVM_SERIAL like 'fmn4atkd-868' or 
fb1qu45r-783,6/4/2020 21:11,1,,, TVM_SERIAL like 'fb1qu45r-783' or 
e4te9gxl-923,6/4/2020 21:11,1,,, TVM_SERIAL like 'e4te9gxl-923' or 
f28z699t-838,6/4/2020 21:11,1,,, TVM_SERIAL like 'f28z699t-838' or 
e9wa3a5r-799,6/4/2020 21:11,1,,, TVM_SERIAL like 'e9wa3a5r-799' or 
e274wjhk-1465,6/4/2020 21:11,1,,, TVM_SERIAL like 'e274wjhk-1465' or 
dswy4zx9-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'dswy4zx9-umshini' or 
epfp38r6-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'epfp38r6-umshini' or 
e342cm9d-1313,6/4/2020 21:11,1,,, TVM_SERIAL like 'e342cm9d-1313' or 
dv2g9c6x-849,6/4/2020 21:11,1,,, TVM_SERIAL like 'dv2g9c6x-849' or 
e9ygsen2-245,6/4/2020 21:11,1,,, TVM_SERIAL like 'e9ygsen2-245' or 
cz9fia8g-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'cz9fia8g-umshini' or 
dkeeg42p-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'dkeeg42p-umshini' or 
d4x3z6bo-1215,6/4/2020 21:11,1,,, TVM_SERIAL like 'd4x3z6bo-1215' or 
d93d7cys-1113,6/4/2020 21:11,1,,, TVM_SERIAL like 'd93d7cys-1113' or 
crs08o40-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'crs08o40-umshini' or 
dcqqewnc-1517,6/4/2020 21:11,1,,, TVM_SERIAL like 'dcqqewnc-1517' or 
d07u9e67-577,6/4/2020 21:11,1,,, TVM_SERIAL like 'd07u9e67-577' or 
d7dxc2zt-1238,6/4/2020 21:11,1,,, TVM_SERIAL like 'd7dxc2zt-1238' or 
bjuhe1ro-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'bjuhe1ro-umshini' or 
bm7p70ae-976,6/4/2020 21:11,1,,, TVM_SERIAL like 'bm7p70ae-976' or 
cidfyc4a-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'cidfyc4a-umshini' or 
c5zt2do9-572,6/4/2020 21:11,1,,, TVM_SERIAL like 'c5zt2do9-572' or 
cjgg5j14-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'cjgg5j14-umshini' or 
c0uiyoew-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'c0uiyoew-umshini' or 
c5xevmks-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'c5xevmks-umshini' or 
bqekyffh-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'bqekyffh-umshini' or 
cft4bc49-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'cft4bc49-umshini' or 
9pez77ag-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '9pez77ag-umshini' or 
bbulwv7h-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'bbulwv7h-umshini' or 
arpbkosd-881,6/4/2020 21:11,1,,, TVM_SERIAL like 'arpbkosd-881' or 
b5jihamm-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'b5jihamm-umshini' or 
a15e2a3c-269,6/4/2020 21:11,1,,, TVM_SERIAL like 'a15e2a3c-269' or 
at71zllv-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'at71zllv-umshini' or 
atg4xel4-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'atg4xel4-umshini' or 
a9kidgfy-1164,6/4/2020 21:11,1,,, TVM_SERIAL like 'a9kidgfy-1164' or 
8h0gw9ve-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '8h0gw9ve-umshini' or 
8vg10308-1101,6/4/2020 21:11,1,,, TVM_SERIAL like '8vg10308-1101' or 
9p1a8hug-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '9p1a8hug-umshini' or 
94ke8396-1108,6/4/2020 21:11,1,,, TVM_SERIAL like '94ke8396-1108' or 
8ijitv3a-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '8ijitv3a-umshini' or 
9edpw70u-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '9edpw70u-umshini' or 
6l6gsku5-609,6/4/2020 21:11,1,,, TVM_SERIAL like '6l6gsku5-609' or 
6ul3hiew-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '6ul3hiew-umshini' or 
7mn8a37b-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '7mn8a37b-umshini' or 
7o3u72ge-1201,6/4/2020 21:11,1,,, TVM_SERIAL like '7o3u72ge-1201' or 
6mthnb92-952,6/4/2020 21:11,1,,, TVM_SERIAL like '6mthnb92-952' or 
855s8atk-906,6/4/2020 21:11,1,,, TVM_SERIAL like '855s8atk-906' or 
744ygco7-915,6/4/2020 21:11,1,,, TVM_SERIAL like '744ygco7-915' or 
88xg2o4i-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '88xg2o4i-umshini' or 
600lbd4q-40,6/4/2020 21:11,1,,, TVM_SERIAL like '600lbd4q-40' or 
6bvz88xu-1334,6/4/2020 21:11,1,,, TVM_SERIAL like '6bvz88xu-1334' or 
6ej7vyue-1144,6/4/2020 21:11,1,,, TVM_SERIAL like '6ej7vyue-1144' or 
6bka73b7-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '6bka73b7-umshini' or 
6a9iybdx-861,6/4/2020 21:11,1,,, TVM_SERIAL like '6a9iybdx-861' or 
5cg0aos8-1331,6/4/2020 21:11,1,,, TVM_SERIAL like '5cg0aos8-1331' or 
56k6qe5d-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '56k6qe5d-umshini' or 
4c1o6ogt-859,6/4/2020 21:11,1,,, TVM_SERIAL like '4c1o6ogt-859' or 
496gtey6-1233,6/4/2020 21:11,1,,, TVM_SERIAL like '496gtey6-1233' or 
48rbxkte-245,6/4/2020 21:11,1,,, TVM_SERIAL like '48rbxkte-245' or 
3hjcwcl0-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '3hjcwcl0-umshini' or 
40wqrouh-26,6/4/2020 21:11,1,,, TVM_SERIAL like '40wqrouh-26' or 
3ajw1bov-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '3ajw1bov-umshini' or 
3f2134a0-1280,6/4/2020 21:11,1,,, TVM_SERIAL like '3f2134a0-1280' or 
31fhkgdw-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '31fhkgdw-umshini' or 
3pndfos4-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '3pndfos4-umshini' or 
3oqpbodd-957,6/4/2020 21:11,1,,, TVM_SERIAL like '3oqpbodd-957' or 
325ie5xx-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '325ie5xx-umshini' or 
3e763x2s-1040,6/4/2020 21:11,1,,, TVM_SERIAL like '3e763x2s-1040' or 
3adndb05-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like '3adndb05-umshini' or 
2uguf55d-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '2uguf55d-umshini' or 
24hac0it-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '24hac0it-umshini' or 
2y1ued7c-40,6/4/2020 21:10,1,,, TVM_SERIAL like '2y1ued7c-40' or 
2moqazgf-1417,6/4/2020 21:10,1,,, TVM_SERIAL like '2moqazgf-1417' or 
2p0h09no-247,6/4/2020 21:10,1,,, TVM_SERIAL like '2p0h09no-247' or 
2ejrtslh-1050,6/4/2020 21:10,1,,, TVM_SERIAL like '2ejrtslh-1050' or 
28v2s570-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '28v2s570-umshini' or 
146kq6ce-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '146kq6ce-umshini' or 
